# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "--countReadPairs" "-t" "transcript" "-g" "transcript_id" "-a" "references/GCF_001617525.2.gtf" "-o" "results/counts.txt" "results/SRR5578735.bam" "results/SRR5578736.bam" "results/SRR5578737.bam" "results/SRR5578738.bam" "results/SRR5578739.bam" "results/SRR5578740.bam" 
Geneid	results/SRR5578735.bam	results/SRR5578736.bam	results/SRR5578737.bam	results/SRR5578738.bam	results/SRR5578739.bam	results/SRR5578740.bam
gene-A1F92_RS07885	145	178	181	619	430	443
gene-A1F92_RS07890	251	327	285	24	15	16
gene-A1F92_RS07900	1070	1255	1241	50	43	46
gene-A1F92_RS07905	0	1	0	0	0	0
gene-A1F92_RS07910	244	262	268	838	776	822
gene-A1F92_RS07915	206	249	252	113	77	95
gene-A1F92_RS07920	365	432	432	165	142	138
gene-A1F92_RS07925	215	246	259	106	81	84
gene-A1F92_RS07930	1980	2202	2037	69	45	54
gene-A1F92_RS07935	2910	3144	3078	179	195	185
gene-A1F92_RS07940	1476	1663	1543	86	92	84
gene-A1F92_RS07945	3559	3902	3867	513	482	460
gene-A1F92_RS07950	168	205	164	27	31	31
gene-A1F92_RS07955	147	189	165	23	29	31
gene-A1F92_RS07960	114	128	140	74	107	97
gene-A1F92_RS07965	13	6	11	1	0	1
gene-A1F92_RS07970	15	6	19	0	0	1
gene-A1F92_RS07975	8	18	21	1	2	3
gene-A1F92_RS07980	109	109	130	220	157	165
gene-A1F92_RS07985	54	65	47	27	17	18
gene-A1F92_RS07990	1204	1402	1401	6772	5288	5209
gene-A1F92_RS07995	1121	1246	1275	4940	3669	3800
gene-A1F92_RS08000	4165	4433	4379	5168	4761	4695
gene-A1F92_RS08005	2936	3185	2931	724	575	697
gene-A1F92_RS08010	2928	3097	3185	157	156	171
gene-A1F92_RS08015	2263	2405	2330	76	60	87
gene-A1F92_RS08020	756	832	858	27	15	32
gene-A1F92_RS08025	1235	1299	1288	912	832	943
gene-A1F92_RS08030	1460	1605	1606	567	478	515
gene-A1F92_RS08035	409	377	362	105	56	89
gene-A1F92_RS08040	792	847	838	141	86	80
gene-A1F92_RS08045	3428	3516	3572	184	241	202
gene-A1F92_RS08050	2803	3121	3027	109	111	141
gene-A1F92_RS08055	440	463	503	19	11	15
gene-A1F92_RS08060	390	391	483	7	12	10
gene-A1F92_RS08065	560	606	603	13	14	20
gene-A1F92_RS08075	34	50	31	18	13	18
gene-A1F92_RS08080	89	103	98	7	12	13
gene-A1F92_RS08085	64	82	56	242	185	208
gene-A1F92_RS08090	72	86	86	157	165	168
gene-A1F92_RS08095	911	943	925	73	67	93
gene-A1F92_RS08100	3	2	0	0	1	0
gene-A1F92_RS08105	2	1	2	1	0	0
gene-A1F92_RS08110	3241	3319	3417	1438	1255	1442
gene-A1F92_RS08115	181	171	220	94	87	87
gene-A1F92_RS08120	570	599	626	172	172	216
gene-A1F92_RS08125	1078	1245	1260	179	164	173
gene-A1F92_RS08130	2500	2605	2659	249	306	315
gene-A1F92_RS08135	522	605	564	86	78	82
gene-A1F92_RS08140	989	1119	1198	135	111	113
gene-A1F92_RS08145	1605	1843	1929	174	172	247
gene-A1F92_RS08150	1311	1247	1284	3731	3429	3491
gene-A1F92_RS08155	1678	1772	1743	1308	1167	1166
gene-A1F92_RS08160	1100	1207	1218	866	794	880
gene-A1F92_RS08165	636	689	689	215	242	217
gene-A1F92_RS08170	485	599	534	180	170	166
gene-A1F92_RS08175	46638	40667	38769	93879	87945	90306
gene-A1F92_RS08185	2982	3182	3142	689	748	824
gene-A1F92_RS08190	29190	28919	29205	3911	3508	3797
gene-A1F92_RS08195	4315	4750	4420	338	294	388
gene-A1F92_RS08200	3949	3692	3805	382	341	453
gene-A1F92_RS08205	353	363	366	7	11	27
gene-A1F92_RS08210	297	358	307	9	18	16
gene-A1F92_RS08215	273	256	298	93	48	75
gene-A1F92_RS08220	775	838	764	146	125	118
gene-A1F92_RS08225	492	525	559	54	28	36
gene-A1F92_RS08230	338	392	405	16	23	30
gene-A1F92_RS08235	173	225	179	19	14	12
gene-A1F92_RS08240	220	265	232	15	11	17
gene-A1F92_RS08245	1001	1113	1031	152	121	186
gene-A1F92_RS08250	477	548	534	13	16	17
gene-A1F92_RS08255	66357	67228	67670	104131	96329	96234
gene-A1F92_RS08260	26145	26984	26689	12288	11171	11085
gene-A1F92_RS08265	1062	1135	1146	305	229	276
gene-A1F92_RS08270	5578	5092	4678	3399	3667	3163
gene-A1F92_RS08275	1877	2196	2207	1420	1189	1544
gene-A1F92_RS08280	1466	1597	1687	3628	2996	3161
gene-A1F92_RS08285	681	806	789	578	448	428
gene-A1F92_RS08290	389	431	474	293	206	209
gene-A1F92_RS08295	559	635	642	21	22	28
gene-A1F92_RS08300	70	80	74	24	36	28
gene-A1F92_RS08305	81	121	99	30	15	28
gene-A1F92_RS08310	380	422	415	141	103	140
gene-A1F92_RS08315	93	102	81	35	19	18
gene-A1F92_RS08320	146	133	145	19	17	27
gene-A1F92_RS08325	87	109	95	10	11	12
gene-A1F92_RS08330	104	113	92	5	9	10
gene-A1F92_RS08335	244	246	268	48	37	36
gene-A1F92_RS08340	84	83	107	449	300	293
gene-A1F92_RS08345	27	29	35	15	7	5
gene-A1F92_RS08350	6	9	15	0	0	2
gene-A1F92_RS08355	159	148	157	13	18	17
gene-A1F92_RS08360	1328	1298	1396	350	246	306
gene-A1F92_RS08365	347	345	336	617	498	529
gene-A1F92_RS08370	131	192	176	52	44	64
gene-A1F92_RS08375	48	54	44	4	4	4
gene-A1F92_RS08380	53	72	44	12	7	13
gene-A1F92_RS08385	182	145	135	108	81	84
gene-A1F92_RS08390	23	32	35	19	17	33
gene-A1F92_RS08395	67	69	61	6	4	8
gene-A1F92_RS08400	200	260	239	84	62	73
gene-A1F92_RS08405	24	20	41	39	33	43
gene-A1F92_RS08410	17	20	20	55	40	41
gene-A1F92_RS08415	34	26	37	10	8	2
gene-A1F92_RS08420	61	55	38	7	6	11
gene-A1F92_RS08425	9	3	9	8	3	5
gene-A1F92_RS08430	7	4	3	6	1	4
gene-A1F92_RS08435	80	65	70	48	30	41
gene-A1F92_RS08440	820	945	916	140	125	186
gene-A1F92_RS08445	172	183	209	66	69	88
gene-A1F92_RS08450	1643	1837	1783	420	353	340
gene-A1F92_RS08455	66	63	72	6	3	8
gene-A1F92_RS08460	97	116	103	25	13	25
gene-A1F92_RS08465	9	13	14	3	1	5
gene-A1F92_RS08470	21	29	22	7	9	7
gene-A1F92_RS16040	4	2	1	0	0	0
gene-A1F92_RS08480	43	42	45	0	0	1
gene-A1F92_RS08485	33	44	43	1	0	1
gene-A1F92_RS08490	52	50	66	2	0	1
gene-A1F92_RS08495	120	93	133	24	15	12
gene-A1F92_RS08500	57	71	70	22	16	19
gene-A1F92_RS08505	181	198	205	80	63	84
gene-A1F92_RS08510	169	179	189	61	48	67
gene-A1F92_RS08515	89	90	109	31	15	31
gene-A1F92_RS08520	56	63	61	9	4	5
gene-A1F92_RS08530	3702	3993	4134	568	453	544
gene-A1F92_RS08535	3220	3787	3797	529	422	488
gene-A1F92_RS08540	4617	5053	5005	810	777	904
gene-A1F92_RS08545	1328	1438	1479	65	53	77
gene-A1F92_RS08550	1626	1659	1646	620	499	516
gene-A1F92_RS08555	1331	1344	1254	532	453	446
gene-A1F92_RS08560	498	528	465	179	180	161
gene-A1F92_RS08565	456	480	438	143	121	124
gene-A1F92_RS08570	1248	1380	1446	361	271	294
gene-A1F92_RS08575	15933	15365	14686	1937	1954	2329
gene-A1F92_RS08580	14632	13680	13045	718	725	834
gene-A1F92_RS08585	356	336	359	77	54	75
gene-A1F92_RS08590	49	75	58	13	14	19
gene-A1F92_RS08595	642	763	793	57	38	53
gene-A1F92_RS08600	675	741	671	34	24	36
gene-A1F92_RS08605	521	563	494	71	75	66
gene-A1F92_RS08610	51	43	39	38	49	28
gene-A1F92_RS08615	5999	6147	6325	2282	2438	2552
gene-A1F92_RS08620	4048	4397	4352	479	489	532
gene-A1F92_RS08625	1201	1272	1168	58	47	70
gene-A1F92_RS08630	102	105	136	10	10	6
gene-A1F92_RS08635	243	257	285	136	142	143
gene-A1F92_RS08640	488	557	541	196	146	195
gene-A1F92_RS08645	1635	1940	1977	298	248	315
gene-A1F92_RS08650	2308	2100	2131	39	42	52
gene-A1F92_RS08655	735	810	839	58	33	61
gene-A1F92_RS08660	726	874	838	106	94	106
gene-A1F92_RS08665	87	107	116	37	23	16
gene-A1F92_RS08670	385	494	481	171	141	123
gene-A1F92_RS08675	1513	1525	1449	1101	853	968
gene-A1F92_RS08680	2142	2532	2554	297	212	239
gene-A1F92_RS08685	15560	16189	16009	2262	2495	2609
gene-A1F92_RS08690	2493	2492	2475	467	516	468
gene-A1F92_RS08695	9721	10083	10056	854	1019	990
gene-A1F92_RS08700	10921	11536	11325	880	810	910
gene-A1F92_RS08705	1037	1116	1004	60	40	46
gene-A1F92_RS08710	6029	6285	6249	795	498	968
gene-A1F92_RS08715	4212	4552	4781	2140	1729	2107
gene-A1F92_RS08720	11937	13180	13918	7711	5496	7098
gene-A1F92_RS08725	1806	1890	2083	1441	900	1304
gene-A1F92_RS08730	2356	2651	3045	2152	1463	1878
gene-A1F92_RS08735	559	561	591	192	171	199
gene-A1F92_RS08740	549	559	584	121	84	114
gene-A1F92_RS08745	290	313	339	10	4	6
gene-A1F92_RS08750	1	5	7	4	2	1
gene-A1F92_RS08755	7	9	10	7	12	5
gene-A1F92_RS08760	12	17	15	6	9	7
gene-A1F92_RS08765	8	2	3	1	0	2
gene-A1F92_RS08770	11	11	13	3	0	7
gene-A1F92_RS08775	10	17	20	3	0	13
gene-A1F92_RS08780	1385	1293	1191	1478	1368	1528
gene-A1F92_RS08785	8662	9450	9342	4829	4252	5018
gene-A1F92_RS08790	596	723	777	228	189	246
gene-A1F92_RS08795	553	528	625	296	253	264
gene-A1F92_RS08800	1891	2048	2112	136	147	180
gene-A1F92_RS08805	484	590	614	37	32	43
gene-A1F92_RS08810	3047	3488	3461	320	305	392
gene-A1F92_RS08815	5451	5730	5763	1211	1171	1293
gene-A1F92_RS08820	2245	2546	2521	457	418	424
gene-A1F92_RS08825	850	910	924	102	79	98
gene-A1F92_RS08830	661	855	804	68	46	60
gene-A1F92_RS08835	3025	3016	2874	1033	980	1116
gene-A1F92_RS08840	3482	3641	3663	609	502	620
gene-A1F92_RS08845	15026	15247	15130	2161	2250	2485
gene-A1F92_RS08850	34349	36062	35671	766	699	1053
gene-A1F92_RS08855	904	1078	1056	18	28	40
gene-A1F92_RS08860	29899	30236	30391	24630	22977	23647
gene-A1F92_RS08865	69	54	64	4	9	3
gene-A1F92_RS08870	331	313	352	24	22	27
gene-A1F92_RS08875	510	526	585	209	128	187
gene-A1F92_RS08880	1594	1504	1499	1771	1314	1642
gene-A1F92_RS08885	434	413	401	1030	817	780
gene-A1F92_RS08890	1504	1593	1542	440	315	486
gene-A1F92_RS08895	116	141	124	22	17	22
gene-A1F92_RS08900	303	300	277	28	39	32
gene-A1F92_RS08905	408	461	480	262	200	237
gene-A1F92_RS08910	171	172	210	98	54	67
gene-A1F92_RS08915	23	22	33	3	3	2
gene-A1F92_RS08920	1307	1390	1373	26	18	35
gene-A1F92_RS08925	17	11	15	1	0	1
gene-A1F92_RS08930	18	27	30	4	1	4
gene-A1F92_RS08935	9	6	17	1	1	2
gene-A1F92_RS08940	17	22	21	2	0	3
gene-A1F92_RS16295	13	15	18	0	0	0
gene-A1F92_RS08945	12	12	8	13	3	2
rna-A1F92_RS08950	3	2	1	6	5	3
gene-A1F92_RS08955	177	195	162	50	32	42
gene-A1F92_RS08960	10	8	12	2	6	1
gene-A1F92_RS08970	32	31	27	2	1	2
gene-A1F92_RS08975	116	139	124	9	6	12
gene-A1F92_RS08980	1007	897	950	1627	1368	1658
gene-A1F92_RS08985	25	29	29	1	3	4
gene-A1F92_RS08990	363	390	453	115	112	72
gene-A1F92_RS08995	2048	2180	1893	164	132	152
gene-A1F92_RS09000	2699	3071	3053	404	389	480
gene-A1F92_RS09005	176	184	185	33	28	16
gene-A1F92_RS09010	520	554	537	55	33	48
gene-A1F92_RS09015	747	832	835	54	44	58
gene-A1F92_RS09020	484	510	518	11	4	23
gene-A1F92_RS09025	1867	1765	1935	121	78	154
gene-A1F92_RS09030	2254	2483	2369	907	673	722
gene-A1F92_RS09035	3017	3370	3398	950	743	695
gene-A1F92_RS09040	10221	11027	10723	3037	2657	2559
gene-A1F92_RS09045	65	78	53	52	36	30
gene-A1F92_RS09050	88	91	87	24	19	18
gene-A1F92_RS09055	30	42	40	6	9	7
gene-A1F92_RS09060	52	59	54	6	6	12
gene-A1F92_RS09065	43	50	44	2	6	5
gene-A1F92_RS09070	32	51	52	7	11	5
gene-A1F92_RS09075	24	20	21	1	4	0
gene-A1F92_RS09080	23	13	21	5	6	4
gene-A1F92_RS09085	24	17	32	1	7	3
gene-A1F92_RS09090	20	21	19	1	6	10
gene-A1F92_RS09095	21	15	15	0	3	4
gene-A1F92_RS09100	883	989	1185	366	323	358
gene-A1F92_RS09105	1506	1656	1641	2342	2116	2110
gene-A1F92_RS09110	1840	1945	2132	1908	1586	1371
gene-A1F92_RS16045	478	444	416	451	373	391
gene-A1F92_RS09120	7042	7794	8024	34902	30339	28338
gene-A1F92_RS09125	629	626	647	60	40	61
gene-A1F92_RS09130	834	880	887	69	46	67
gene-A1F92_RS09135	3370	3416	3488	925	609	628
gene-A1F92_RS09140	21498	22015	21999	6631	6306	6566
gene-A1F92_RS09145	157913	165343	167183	176513	165585	165793
gene-A1F92_RS09150	206	201	220	66	80	73
gene-A1F92_RS09155	3548	3771	3835	381	382	427
gene-A1F92_RS09160	1236	1197	1280	105	35	65
gene-A1F92_RS09165	17	27	33	4	0	2
gene-A1F92_RS09170	16375	14657	13065	2830	3069	3585
gene-A1F92_RS09175	14759	13447	12143	3197	3356	3324
gene-A1F92_RS09180	682	699	782	84	85	86
gene-A1F92_RS09185	981	1102	1113	98	88	114
gene-A1F92_RS09190	172	178	212	14	12	22
gene-A1F92_RS09195	93	111	137	10	8	20
gene-A1F92_RS09200	749	831	865	337	274	258
gene-A1F92_RS09205	436	447	461	157	137	140
gene-A1F92_RS09210	349	374	446	166	98	130
gene-A1F92_RS09215	276	335	304	64	60	83
gene-A1F92_RS09220	6231	6685	7100	1366	1306	1602
gene-A1F92_RS09225	1135	1170	1257	163	123	195
gene-A1F92_RS09230	206	196	217	19	16	16
gene-A1F92_RS09235	102	145	114	7	7	9
gene-A1F92_RS09240	61	73	71	9	4	6
gene-A1F92_RS09255	364	349	440	78	75	98
gene-A1F92_RS09260	15511	16617	15916	473	494	605
gene-A1F92_RS09265	560	578	581	95	119	91
gene-A1F92_RS09270	99	113	129	18	16	24
gene-A1F92_RS09275	247	243	228	63	56	77
gene-A1F92_RS09280	277	250	288	7581	6843	6612
gene-A1F92_RS09285	158	166	167	3655	3244	3133
gene-A1F92_RS09290	149	135	176	2437	2345	2120
gene-A1F92_RS09295	462	426	455	2132	1973	1878
gene-A1F92_RS09300	1811	2009	2015	78	85	108
gene-A1F92_RS09305	260	226	241	154	94	120
gene-A1F92_RS09310	427	444	459	32	14	41
gene-A1F92_RS09315	6954	6930	6927	463	338	529
gene-A1F92_RS09320	934	1095	1030	41	42	56
gene-A1F92_RS09325	1639	1473	1549	55	77	108
gene-A1F92_RS09330	5249	5709	5794	287	233	307
gene-A1F92_RS09335	1492	1646	1545	1028	784	857
gene-A1F92_RS09340	1040	1160	1161	159	124	186
gene-A1F92_RS09345	124	137	122	29	18	34
gene-A1F92_RS09350	92	110	113	17	12	18
gene-A1F92_RS16300	14	13	12	28	26	20
gene-A1F92_RS16305	24	20	12	26	23	22
gene-A1F92_RS09365	14	13	15	35	31	20
gene-A1F92_RS09370	11	7	13	28	21	23
gene-A1F92_RS09375	330	389	388	59	36	44
gene-A1F92_RS09380	458	519	512	72	49	62
gene-A1F92_RS09385	2761	2865	2951	2074	1852	1927
gene-A1F92_RS09390	546	562	573	204	130	166
gene-A1F92_RS09395	1519	1654	1754	517	281	417
gene-A1F92_RS09400	904	910	1006	383	277	263
gene-A1F92_RS09405	140	161	197	90	74	64
gene-A1F92_RS09410	559	724	679	450	332	351
gene-A1F92_RS09415	1400	1511	1687	1282	951	1223
gene-A1F92_RS09420	74	70	72	60	63	49
gene-A1F92_RS09425	67	67	70	58	35	49
gene-A1F92_RS09430	57	77	70	62	44	66
gene-A1F92_RS09435	62	80	67	32	19	23
gene-A1F92_RS09440	13099	13708	13653	10110	9968	10213
gene-A1F92_RS09445	5121	5459	5392	1864	1666	1779
gene-A1F92_RS09450	2802	2904	2932	1031	945	995
gene-A1F92_RS09455	616	740	738	326	332	312
gene-A1F92_RS09460	1384	1531	1532	411	405	426
gene-A1F92_RS09465	5396	5996	6039	550	437	581
gene-A1F92_RS09470	4101	4439	4360	316	226	319
gene-A1F92_RS09475	1324	1271	1388	197	199	200
gene-A1F92_RS09480	1595	1557	1562	110	110	123
gene-A1F92_RS09485	1967	2162	2210	99	104	119
gene-A1F92_RS09490	2600	2574	2652	313	311	365
gene-A1F92_RS09495	3248	3663	3485	181	168	203
gene-A1F92_RS09500	263	287	266	6	10	20
gene-A1F92_RS09505	1067	1171	1153	83	76	104
gene-A1F92_RS09510	951	1023	977	53	40	51
gene-A1F92_RS09515	472	496	500	54	62	61
gene-A1F92_RS09520	293	273	305	49	49	54
gene-A1F92_RS09525	305	231	198	39	41	43
gene-A1F92_RS09530	1790	1936	1937	348	297	362
gene-A1F92_RS09535	516	473	466	7	11	14
gene-A1F92_RS09540	177	185	192	14	10	26
gene-A1F92_RS09545	711	799	850	24	26	30
gene-A1F92_RS09555	521	572	549	9	11	13
gene-A1F92_RS09560	487	562	523	322	309	349
gene-A1F92_RS09565	762	863	1021	1217	1124	1157
gene-A1F92_RS09570	233	218	253	137	142	151
gene-A1F92_RS09575	857	850	924	576	629	640
gene-A1F92_RS09580	947	970	1075	563	488	563
gene-A1F92_RS09585	1247	1398	1470	81	98	111
gene-A1F92_RS09590	755	862	852	33	33	36
gene-A1F92_RS09595	415	436	424	24	14	19
gene-A1F92_RS09600	1238	1432	1444	427	246	340
gene-A1F92_RS09605	1375	1624	1618	1308	1028	1086
gene-A1F92_RS09610	225	255	281	1278	881	924
gene-A1F92_RS09615	2470	2558	2339	2490	1772	1723
gene-A1F92_RS09620	2290	2257	2375	322	269	293
gene-A1F92_RS09625	634	696	741	1302	1136	1262
gene-A1F92_RS09630	1011	969	933	2342	2008	1906
gene-A1F92_RS09635	2	1	2	0	0	0
rna-A1F92_RS09640	3	4	3	0	0	0
rna-A1F92_RS09645	20	17	20	1	0	0
rna-A1F92_RS09650	11	8	9	0	0	0
rna-A1F92_RS09655	25	19	23	0	0	2
rna-A1F92_RS09660	32	38	50	0	0	0
rna-A1F92_RS09665	493	570	568	4	2	10
rna-A1F92_RS09670	234	253	231	4	0	3
rna-A1F92_RS09675	62	64	70	0	0	0
rna-A1F92_RS09680	29	35	39	0	0	0
rna-A1F92_RS09685	202	191	212	3	5	8
rna-A1F92_RS09690	261	316	388	6	4	7
rna-A1F92_RS09695	115	113	141	1	2	3
rna-A1F92_RS09700	33	36	36	0	1	0
rna-A1F92_RS09705	49	40	49	0	0	0
rna-A1F92_RS09710	198	219	236	2	4	2
rna-A1F92_RS09715	125	108	145	0	1	1
rna-A1F92_RS09720	437	476	487	10	15	35
rna-A1F92_RS09725	665	714	672	16	28	39
rna-A1F92_RS09730	0	0	0	0	0	0
rna-A1F92_RS09735	0	0	0	0	0	0
rna-A1F92_RS09740	0	0	2	0	0	0
rna-A1F92_RS09745	0	0	0	0	0	0
rna-A1F92_RS09750	0	0	0	0	0	0
rna-A1F92_RS09755	0	5	0	2	3	1
rna-A1F92_RS09760	0	0	0	0	0	0
gene-A1F92_RS09765	114	106	92	34	16	23
gene-A1F92_RS09770	357	284	257	29	18	44
gene-A1F92_RS09775	2964	2696	2772	1336	1430	1362
gene-A1F92_RS09780	1169	1236	1201	11	7	12
gene-A1F92_RS09785	701	710	741	143	124	124
gene-A1F92_RS09790	839	894	848	176	139	131
gene-A1F92_RS09795	462	490	526	126	124	106
gene-A1F92_RS09800	898	949	985	23	16	49
gene-A1F92_RS09805	250	254	284	15	5	13
gene-A1F92_RS09815	1374	1340	1459	78	67	78
gene-A1F92_RS09820	2086	2274	2276	897	749	904
gene-A1F92_RS09825	444	563	551	127	107	143
gene-A1F92_RS09830	2	7	3	0	3	0
gene-A1F92_RS09835	1	0	1	0	0	0
gene-A1F92_RS09840	2	5	8	0	0	2
gene-A1F92_RS09845	2	0	0	0	0	0
gene-A1F92_RS09850	10	8	11	2	2	2
gene-A1F92_RS09855	4	11	11	0	0	0
gene-A1F92_RS09860	1372	1571	1518	371	240	281
gene-A1F92_RS09865	9179	10270	10599	1745	1495	1675
gene-A1F92_RS09870	60	96	98	130	117	108
gene-A1F92_RS09875	253	299	288	387	329	350
gene-A1F92_RS09880	3883	4184	4181	240	199	299
gene-A1F92_RS09885	2124	2282	2282	1760	1751	1818
gene-A1F92_RS09890	580	647	677	389	336	379
gene-A1F92_RS09895	2203	2349	2453	1143	1094	1192
gene-A1F92_RS09900	948	905	888	392	351	335
gene-A1F92_RS09905	558	656	635	126	134	153
gene-A1F92_RS09910	5173	5526	5470	4485	3961	4408
gene-A1F92_RS09915	2699	2734	2731	2322	2148	2088
gene-A1F92_RS09920	351	349	386	149	114	120
gene-A1F92_RS09925	245	268	281	36	44	38
gene-A1F92_RS09930	284	295	317	48	35	42
gene-A1F92_RS09935	388	425	410	32	23	31
gene-A1F92_RS09940	535	568	507	41	29	29
gene-A1F92_RS09945	4563	4579	4858	18514	15532	15598
gene-A1F92_RS09950	2532	2691	2681	474	387	447
gene-A1F92_RS09955	244	272	258	91	66	76
gene-A1F92_RS09960	638	673	588	377	261	283
gene-A1F92_RS09965	710	779	741	373	257	274
gene-A1F92_RS09970	479	587	587	224	135	182
gene-A1F92_RS09975	7437	7748	7342	355	420	412
gene-A1F92_RS09980	2366	2614	2476	377	343	391
gene-A1F92_RS09985	1515	1565	1635	198	131	167
gene-A1F92_RS09990	126	144	129	155	128	134
gene-A1F92_RS09995	2748	2683	2518	248	252	316
gene-A1F92_RS10000	1578	1748	1610	203	174	216
gene-A1F92_RS10005	1569	1705	1743	193	188	224
gene-A1F92_RS10010	1065	1135	1146	73	43	58
gene-A1F92_RS10015	633	644	613	25	17	37
gene-A1F92_RS10020	619	682	654	55	39	50
gene-A1F92_RS10025	2518	2982	2778	114	103	135
gene-A1F92_RS10030	71	83	84	10	13	11
gene-A1F92_RS10045	1670	1811	1903	387	381	418
gene-A1F92_RS10050	1437	1647	1698	206	139	199
gene-A1F92_RS10055	407	428	406	71	43	46
gene-A1F92_RS10060	7728	8206	8099	545	373	491
gene-A1F92_RS10065	3731	4026	4060	2735	2151	2555
gene-A1F92_RS10070	658	716	719	1511	1099	1169
gene-A1F92_RS10075	1586	1602	1598	247	194	246
gene-A1F92_RS10080	3109	3316	3155	200	165	191
gene-A1F92_RS10085	1680	1701	1648	54	46	75
gene-A1F92_RS10090	1238	1438	1349	32	23	49
gene-A1F92_RS10095	210	253	273	19	10	13
gene-A1F92_RS10105	337	319	300	47	52	50
gene-A1F92_RS10110	97	111	114	15	21	27
gene-A1F92_RS10115	63	99	61	8	4	6
gene-A1F92_RS10120	2635	2974	2882	448	479	568
gene-A1F92_RS10125	1713	1734	1724	152	123	186
gene-A1F92_RS10130	638	681	722	40	47	62
gene-A1F92_RS10135	1650	1845	1787	96	84	117
gene-A1F92_RS10140	9488	9941	9865	293	285	488
gene-A1F92_RS10145	322	277	328	71	62	83
gene-A1F92_RS10150	530	609	598	114	106	133
gene-A1F92_RS10155	8841	9698	9821	5414	5089	5419
gene-A1F92_RS10160	836	856	869	432	338	375
gene-A1F92_RS10165	141	157	164	279	224	225
gene-A1F92_RS10170	0	0	0	0	0	0
gene-A1F92_RS10175	2450	2596	2761	229	214	279
gene-A1F92_RS10180	1127	1306	1431	73	55	97
gene-A1F92_RS10190	2122	2180	2214	299	198	248
gene-A1F92_RS10195	325	362	385	22	22	40
gene-A1F92_RS10200	31170	30965	30665	2930	3215	3611
gene-A1F92_RS10205	285	304	290	151	127	138
gene-A1F92_RS10210	491	491	500	162	148	143
gene-A1F92_RS10215	128	96	137	183	141	148
gene-A1F92_RS10220	49	52	60	76	58	61
gene-A1F92_RS10225	31	44	29	154	137	129
gene-A1F92_RS10230	4	6	9	67	24	44
gene-A1F92_RS10235	6	5	3	79	54	58
gene-A1F92_RS10240	11	9	6	147	98	88
gene-A1F92_RS10245	6	7	5	109	87	76
gene-A1F92_RS10250	715	665	624	956	704	772
gene-A1F92_RS10255	803	897	863	130	127	171
gene-A1F92_RS10260	385	451	435	67	40	66
rna-A1F92_RS10265	11503	10687	10636	69266	148358	118864
gene-A1F92_RS10270	239	248	230	22	13	30
gene-A1F92_RS10275	2127	2160	2069	9156	7351	8576
gene-A1F92_RS10280	1018	1059	1072	241	199	228
gene-A1F92_RS10285	1919	2157	2191	367	176	290
gene-A1F92_RS10290	1079	1217	1166	124	125	134
gene-A1F92_RS10295	9605	9427	9877	1160	952	1163
gene-A1F92_RS10300	1534	1803	1722	312	249	343
gene-A1F92_RS10305	1104	1268	1260	98	61	121
gene-A1F92_RS10310	2009	2115	2136	729	633	766
gene-A1F92_RS10315	1487	1512	1511	510	510	546
gene-A1F92_RS10320	678	675	751	24	18	37
gene-A1F92_RS10325	866	976	926	37	17	42
gene-A1F92_RS10330	1196	1292	1344	243	197	256
gene-A1F92_RS10335	2910	2980	2977	300	223	322
gene-A1F92_RS10340	943	906	969	121	148	156
gene-A1F92_RS10345	1047	1220	1278	92	89	105
gene-A1F92_RS10350	4808	5098	5293	301	318	406
gene-A1F92_RS10355	353	407	362	15	9	29
gene-A1F92_RS10360	1889	2040	2108	31	33	50
gene-A1F92_RS10365	7132	6620	6685	6516	6589	7249
gene-A1F92_RS10370	27846	29515	29534	20293	19716	20698
gene-A1F92_RS10375	15395	15646	16007	8375	7903	8494
gene-A1F92_RS10380	27673	29502	30192	10895	10585	10956
gene-A1F92_RS10385	8177	8741	8859	2650	2473	2649
gene-A1F92_RS10390	5755	5923	5835	1768	1856	1906
gene-A1F92_RS10395	2646	2840	2825	832	823	753
gene-A1F92_RS10400	13965	14528	14978	2845	2908	3109
gene-A1F92_RS10405	173	207	233	52	53	55
gene-A1F92_RS16050	87	97	117	14	17	23
gene-A1F92_RS10415	6574	6275	6376	1579	1430	1679
gene-A1F92_RS10420	2083	2403	2407	898	699	884
gene-A1F92_RS10425	859	866	898	54	63	97
gene-A1F92_RS10430	608	627	664	21	27	46
gene-A1F92_RS10435	1945	2052	2096	111	88	163
gene-A1F92_RS10440	494	589	632	40	27	67
gene-A1F92_RS10445	1068	1214	1245	147	115	180
gene-A1F92_RS10450	807	970	1057	131	106	128
gene-A1F92_RS10455	1579	1646	1629	728	556	743
gene-A1F92_RS10460	264	291	277	84	58	69
gene-A1F92_RS10465	63	71	74	37	24	16
gene-A1F92_RS10470	187	176	151	6	2	14
gene-A1F92_RS10475	398	363	346	110	79	112
gene-A1F92_RS10480	268	358	333	126	104	137
gene-A1F92_RS10485	333	346	353	94	83	115
gene-A1F92_RS10490	159	170	202	43	21	54
gene-A1F92_RS10495	34	38	42	2	3	4
gene-A1F92_RS10500	220	276	270	70	42	58
gene-A1F92_RS10510	64	91	103	71	66	164
gene-A1F92_RS10515	21	18	20	11	17	41
gene-A1F92_RS10520	70	96	137	58	69	193
gene-A1F92_RS10525	20	35	32	33	33	56
gene-A1F92_RS10530	27	35	43	20	15	51
gene-A1F92_RS10535	173	265	303	104	134	352
