# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "--countReadPairs" "-t" "transcript" "-g" "transcript_id" "-a" "references/GCF_001617525.2.gtf" "-o" "results/counts.txt" "results/SRR5578735.bam" "results/SRR5578736.bam" "results/SRR5578737.bam" "results/SRR5578738.bam" "results/SRR5578739.bam" "results/SRR5578740.bam" 
Geneid	results/SRR5578735.bam	results/SRR5578736.bam	results/SRR5578737.bam	results/SRR5578738.bam	results/SRR5578739.bam	results/SRR5578740.bam
gene-A1F92_RS01325	27	51	56	7	5	4
gene-A1F92_RS01330	101	103	113	17	19	21
gene-A1F92_RS01335	153	184	156	78	62	58
gene-A1F92_RS01340	590	642	692	91	80	103
gene-A1F92_RS01345	311	348	378	33	20	21
gene-A1F92_RS01350	295	371	425	26	17	20
gene-A1F92_RS01355	398	482	503	28	19	33
gene-A1F92_RS01360	155	149	182	16	7	11
gene-A1F92_RS01365	886	970	876	883	856	897
gene-A1F92_RS01370	297	325	375	106	124	91
gene-A1F92_RS01375	450	447	433	192	190	162
gene-A1F92_RS01380	4479	4208	3795	518	571	583
gene-A1F92_RS01385	271	336	347	14	10	21
gene-A1F92_RS01390	548	569	531	44	40	47
gene-A1F92_RS01395	499	557	568	43	51	50
gene-A1F92_RS01400	391	465	449	44	39	76
gene-A1F92_RS01405	49342	48844	49753	20726	20312	21172
gene-A1F92_RS01410	1	3	4	0	0	1
gene-A1F92_RS01415	950	990	916	174	143	160
gene-A1F92_RS01420	465	491	450	225	210	197
gene-A1F92_RS01425	211	231	186	16	32	26
gene-A1F92_RS01430	2109	2105	2009	962	989	980
gene-A1F92_RS01435	1850	1903	1851	15264	12966	14156
gene-A1F92_RS01440	50	66	42	42	23	32
gene-A1F92_RS01445	95	104	104	52	37	56
gene-A1F92_RS01450	46	46	50	15	7	13
gene-A1F92_RS01455	289	349	370	152	121	143
gene-A1F92_RS01460	655	666	681	67	57	69
gene-A1F92_RS01465	1098	1250	1234	40	34	49
gene-A1F92_RS01470	2682	2991	2955	205	177	236
gene-A1F92_RS01475	11	5	6	3	3	4
gene-A1F92_RS01480	89	73	101	3	3	1
gene-A1F92_RS01485	430	464	463	46	54	82
gene-A1F92_RS01490	3465	4077	4556	323	328	376
gene-A1F92_RS01495	31	25	20	2	4	1
gene-A1F92_RS01500	1803	1730	1644	294	305	350
gene-A1F92_RS01505	10	25	15	5	2	10
gene-A1F92_RS01510	483	396	503	57	57	67
gene-A1F92_RS01515	990	1079	1135	2678	2254	2718
gene-A1F92_RS01520	547	606	554	978	782	848
gene-A1F92_RS01525	778	802	750	1087	925	994
gene-A1F92_RS01530	340	407	377	211	151	147
gene-A1F92_RS01535	160	178	204	4	7	10
gene-A1F92_RS01540	267	288	291	15	18	28
gene-A1F92_RS01545	1535	1656	1705	304	302	327
gene-A1F92_RS01550	903	1032	1084	387	382	487
gene-A1F92_RS01555	539	464	501	60	41	72
gene-A1F92_RS01565	36	51	35	3	1	6
gene-A1F92_RS01570	576	632	657	264	182	223
gene-A1F92_RS01575	654	737	753	308	234	263
gene-A1F92_RS01580	1631	1855	1918	1152	963	1020
gene-A1F92_RS01585	147	152	154	110	107	116
gene-A1F92_RS01590	118	120	146	721	748	878
gene-A1F92_RS01595	45	57	47	1255	1224	1285
gene-A1F92_RS15955	2	0	3	0	3	6
gene-A1F92_RS15960	26	35	46	5	2	5
gene-A1F92_RS01605	129	144	127	8	2	8
gene-A1F92_RS01610	119	122	129	21	19	32
gene-A1F92_RS01615	54	76	72	23	18	18
gene-A1F92_RS01620	42	26	37	5	5	11
gene-A1F92_RS01630	16	35	33	2	3	6
gene-A1F92_RS01640	33	32	31	3	2	10
gene-A1F92_RS16495	8	20	13	5	1	3
gene-A1F92_RS01655	73	72	77	17	7	6
gene-A1F92_RS01660	147	128	143	34	17	29
gene-A1F92_RS01665	25	47	37	9	17	15
gene-A1F92_RS01670	84	75	65	7	15	17
gene-A1F92_RS01675	75	97	78	8	7	11
gene-A1F92_RS01680	142	112	103	10	2	11
gene-A1F92_RS01685	112	113	109	37	37	54
gene-A1F92_RS01690	40	66	49	4	7	5
gene-A1F92_RS01695	267	288	256	12	15	19
gene-A1F92_RS01700	40	35	36	43	57	29
gene-A1F92_RS01710	23	27	27	16	17	20
gene-A1F92_RS01715	2	3	2	2	0	0
gene-A1F92_RS01720	6	4	1	0	1	0
gene-A1F92_RS01725	1	2	5	4	2	1
gene-A1F92_RS01730	1	4	2	11	8	10
gene-A1F92_RS01735	16	15	27	8	8	10
gene-A1F92_RS01740	31	28	52	15	7	9
gene-A1F92_RS01750	6	4	5	0	2	0
gene-A1F92_RS01755	60	60	71	18	17	7
gene-A1F92_RS01760	31	49	56	12	3	5
gene-A1F92_RS01765	142	155	167	34	36	38
gene-A1F92_RS01770	15	19	26	2	1	2
gene-A1F92_RS01775	22	31	12	6	6	4
gene-A1F92_RS01780	21	10	9	8	8	6
gene-A1F92_RS01785	23	19	28	8	3	5
gene-A1F92_RS01790	26	29	35	15	7	10
gene-A1F92_RS01795	53	55	53	10	8	7
gene-A1F92_RS01800	41	39	49	13	25	29
gene-A1F92_RS01805	33	37	37	3	6	5
gene-A1F92_RS01810	58	71	85	6	4	5
gene-A1F92_RS01815	44	43	38	13	11	8
gene-A1F92_RS01820	1250	1445	1614	66	61	88
gene-A1F92_RS01825	46	85	66	24	23	35
gene-A1F92_RS01830	1081	1202	1188	87	90	115
gene-A1F92_RS01835	139	113	130	173	161	195
gene-A1F92_RS01840	95	112	96	509	553	442
gene-A1F92_RS01845	14	12	12	119	113	121
gene-A1F92_RS01850	14	22	14	333	299	302
gene-A1F92_RS01855	17	16	25	8	5	9
gene-A1F92_RS01860	41	58	54	17	15	12
gene-A1F92_RS01865	45	46	36	16	14	7
gene-A1F92_RS01870	156	161	190	51	49	53
gene-A1F92_RS01875	1004	1186	1208	169	152	185
gene-A1F92_RS01880	172	227	258	81	56	90
gene-A1F92_RS01885	271	304	296	207	186	191
gene-A1F92_RS01890	329	290	362	93	73	101
gene-A1F92_RS01895	380	453	463	146	101	140
gene-A1F92_RS01900	454	481	453	164	101	139
gene-A1F92_RS01905	345	402	399	194	173	175
gene-A1F92_RS01910	683	684	741	533	475	594
gene-A1F92_RS01915	51	60	52	10	10	5
gene-A1F92_RS01920	4583	5015	4895	180	189	231
gene-A1F92_RS01925	552	530	509	56	56	51
gene-A1F92_RS01930	797	908	977	184	144	190
gene-A1F92_RS01935	551	660	627	98	75	74
gene-A1F92_RS01940	1089	1182	1179	157	123	124
gene-A1F92_RS01945	5736	5302	4605	127	95	142
gene-A1F92_RS01950	656	659	644	81	76	76
gene-A1F92_RS01960	575	624	646	627	548	511
gene-A1F92_RS01965	337	359	340	39	13	22
gene-A1F92_RS01970	465	537	478	39	40	36
gene-A1F92_RS16500	15	20	32	2	2	2
gene-A1F92_RS16505	16	18	12	2	0	1
gene-A1F92_RS01980	39	48	40	2	0	7
gene-A1F92_RS01985	62	55	68	6	6	5
gene-A1F92_RS01990	671	766	770	32	43	41
gene-A1F92_RS01995	5360	5688	5374	241	247	271
gene-A1F92_RS02000	206	218	215	29	15	49
gene-A1F92_RS02005	9727	10109	9899	3281	3090	2950
gene-A1F92_RS02010	229	211	247	213	185	189
gene-A1F92_RS02015	1466	1475	1543	1463	1134	1073
gene-A1F92_RS02020	678	675	742	433	351	432
gene-A1F92_RS02025	707	831	748	286	236	243
gene-A1F92_RS02030	463	513	578	257	199	217
gene-A1F92_RS02035	305	309	398	633	453	542
gene-A1F92_RS02040	4935	5505	5494	1523	1040	1297
gene-A1F92_RS02045	6677	7712	8019	1410	1341	1534
gene-A1F92_RS02050	99	103	103	18	11	23
gene-A1F92_RS02055	166	192	196	155	129	151
gene-A1F92_RS02065	160	200	195	175	131	118
gene-A1F92_RS02070	339	312	375	297	256	248
gene-A1F92_RS02075	254	263	300	601	471	558
gene-A1F92_RS02080	180	134	137	32	36	29
gene-A1F92_RS02085	3011	3423	3463	156	140	191
gene-A1F92_RS02090	3283	3943	3942	296	307	330
